organization_id,organization_name,organization_type,partner_country,website_url,contact_url,email_status,lead_readiness,fetch_status,notes,source_project_urls,score
org_fondazione_istituto_sui_trasporti_e_la_l_b0d67ea9,Fondazione Istituto sui Trasporti e la Logistica,Higher education and research organisations,Italy,https://www.fondazioneitl.org,https://www.fondazioneitl.org/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/31589/ | https://keep.eu/projects/29240/,4.6
org_bulgaria_razlog_bg_4acffc8b,Община Разлог,Local public authority,Bulgaria,http://www.razlog.bg,http://www.razlog.bg,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/31585/,4.6
org_greece_thessaly_gov_gr_256409a1,ΠΕΡΙΦΕΡΕΙΑ ΘΕΣΣΑΛΙΑΣ,Regional public authority,Greece,http://www.thessaly.gov.gr,http://www.thessaly.gov.gr,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/31585/,4.6
org_legambiente_nazionale_aps_rete_associati_97142e86,Legambiente Nazionale APS - Rete Associativa ETS,Cluster / Network,Italy,http://www.legambiente.it,http://www.legambiente.it,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33245/,4.55
org_jordan_university_of_science_and_techno_d4800fa0,جامعة العلوم والتكنولوجيا الأردنية Jordan University of Science and Technology,University / Research,Jordan,http://www.just.edu.jo,http://www.just.edu.jo,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/33263/,4.5
org_association_internationale_des_for_ts_m_b2da5258,Association Internationale des Forêts Méditerranéennes,Association,France,http://www.aifm.org,http://www.aifm.org,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/33248/ | https://keep.eu/projects/32764/ | https://keep.eu/projects/29218/,4.5
org_fakultet_strojarstva_i_brodogradnje_sveu_e7198e07,Fakultet strojarstva i brodogradnje Sveučilišta u Zagrebu,Higher education and research organisations,Croatia,http://www.fsb.unizg.hr,http://www.fsb.unizg.hr,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/32769/ | https://keep.eu/projects/29239/ | https://keep.eu/projects/29236/,4.5
org_ayuntamiento_de_murcia_spain_murcia_es_80199df2,Ayuntamiento de Murcia,Local public authority,Spain,http://www.murcia.es,http://www.murcia.es,email_not_found_no_contact_channel,not_outreach_ready,ok,page_fetched but no email found,https://keep.eu/projects/32767/,4.5
org_enea_agenzia_nazionale_per_le_nuove_tecn_71fa3cbd,"ENEA Agenzia nazionale per le nuove tecnologie, l'energia e lo sviluppo economico sostenibile",National public authority,Italy,,https://keep.eu/projects/32766/,email_not_found_no_website,not_outreach_ready,skipped_no_own_url,,https://keep.eu/projects/32766/,4.5
org_privredna_komora_crne_gore_montenegro_871564b0,Privredna komora Crne Gore,Business support organisation,Montenegro,,https://keep.eu/projects/32765/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_32765,https://keep.eu/projects/32765/ | https://keep.eu/projects/29216/,4.5
org_ente_di_gestione_dei_sacri_monti_italy_5e083236,ENTE DI GESTIONE DEI SACRI MONTI,Regional public authority,Italy,,https://keep.eu/projects/32764/,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=keep_eu_html_project_32764,https://keep.eu/projects/32764/,4.5
org_consell_insular_de_formentera_spain_98bbcd5d,Consell Insular de Formentera,Local public authority,Spain,,https://keep.eu/projects/32763/,email_not_found_no_website,not_outreach_ready,skipped_no_own_url,,https://keep.eu/projects/32763/,4.5
org_regione_di_lazio_italy_visitlazio_com_4bf01a68,Regione di Lazio,Regional public authority,Italy,http://www.visitlazio.com,http://www.visitlazio.com/,email_not_found_manual_review,manual_review_needed,url_error,url_error,https://keep.eu/projects/32762/ | https://keep.eu/projects/27710/,4.5
org_diputaci_n_provincial_de_teruel_spain_dp_1d0a3a76,Diputación Provincial de Teruel,Regional public authority,Spain,http://www.dpteruel.es,http://www.dpteruel.es,email_not_found_form_only,not_outreach_ready,ok,page_fetched_form_only | candidate_source=own_contact_url,https://keep.eu/projects/32762/,4.5
